Strategy,Total Return,CAGR,MDD,Sharpe Ratio,Win Rate,Total Trades
Benchmark (SMA30),367.97x,113.33%,-34.44%,1.49,54.29%,1503
Buy & Hold,35.98x,58.33%,-74.13%,0.68,51.46%,2849
Random Forest,11.72x,37.12%,-60.13%,0.84,53.03%,1171
Ensemble (Voting),11.68x,37.08%,-65.60%,0.85,54.43%,1174
XGBoost,11.43x,36.70%,-66.19%,0.86,54.18%,1161
Extra Trees,9.49x,33.47%,-68.41%,0.78,53.41%,1174
LightGBM,7.74x,30.02%,-71.03%,0.74,53.59%,1213
Gradient Boosting,6.86x,28.03%,-65.55%,0.69,54.13%,1175
