timestamp,close,ml_signal_shifted,position_change,ml_returns
2017-11-23,8943000.0,,,
2017-11-24,9195000.0,0.0,,0.0
2018-11-25,4616000.0,1.0,1.0,0.027604630454140633
2018-11-26,4371000.0,0.0,-1.0,-0.0
2018-11-27,4380000.0,1.0,1.0,0.002059025394646641
2018-11-28,4800000.0,0.0,-1.0,0.0
2018-11-29,4840000.0,1.0,1.0,0.008333333333333304
2018-12-01,4721000.0,0.0,-1.0,0.0
2018-12-02,4685000.0,1.0,1.0,-0.007625503071383211
2018-12-04,4457000.0,0.0,-1.0,0.0
2018-12-07,3868000.0,1.0,1.0,-0.024464060529634346
2018-12-09,4013000.0,0.0,-1.0,0.0
2018-12-11,3822000.0,1.0,1.0,-0.01874197689345314
2018-12-13,3721000.0,0.0,-1.0,-0.0
2018-12-15,3619000.0,1.0,1.0,-0.006315211422295408
2018-12-17,3923000.0,0.0,-1.0,0.0
2018-12-18,4088000.0,1.0,1.0,0.042059648228396584
2018-12-26,4293000.0,0.0,-1.0,0.0
2018-12-27,4124000.0,1.0,1.0,-0.03936641043559286
2018-12-28,4338000.0,0.0,-1.0,0.0
2018-12-29,4200000.0,1.0,1.0,-0.0318118948824343
2018-12-31,4200000.0,0.0,-1.0,-0.0
2019-01-03,4284000.0,1.0,1.0,-0.01449275362318836
2019-01-05,4294000.0,0.0,-1.0,-0.0
2019-01-07,4499000.0,1.0,1.0,-0.00464601769911499
2019-01-10,4087000.0,0.0,-1.0,-0.0
2019-01-14,4098000.0,1.0,1.0,0.034065102195306673
2019-01-15,4034000.0,0.0,-1.0,-0.0
2019-01-16,4052000.0,1.0,1.0,0.004462072384729732
2019-01-20,3984000.0,0.0,-1.0,-0.0
2019-01-21,3973000.0,1.0,1.0,-0.0027610441767068616
2019-02-03,3821000.0,0.0,-1.0,-0.0
2019-02-04,3822000.0,1.0,1.0,0.00026171159382371023
2019-02-12,3981000.0,0.0,-1.0,-0.0
2019-02-18,4236000.0,1.0,1.0,0.04851485148514856
2019-02-25,4255000.0,0.0,-1.0,0.0
2019-02-26,4228000.0,1.0,1.0,-0.006345475910693343
2019-02-28,4240000.0,0.0,-1.0,-0.0
