timestamp,close,action,momentum
2017-12-27,21970000.0,SELL,-1821000.0
2017-12-29,19290000.0,BUY,1521000.0
2017-12-31,19280000.0,SELL,-27000.0
2018-01-02,20263000.0,BUY,1905000.0
2018-01-10,21317000.0,SELL,-883000.0
2018-01-11,19389000.0,BUY,300000.0
2018-01-14,19206000.0,SELL,-616000.0
2018-02-19,12649000.0,BUY,1022000.0
2018-03-07,11200000.0,SELL,-157000.0
2018-04-16,8663000.0,BUY,12000.0
2018-04-17,8450000.0,SELL,-280000.0
2018-04-18,8652000.0,BUY,737000.0
2018-05-11,9256000.0,SELL,-479000.0
2018-05-13,9803000.0,BUY,43000.0
2018-05-14,9797000.0,SELL,-708000.0
2018-07-03,7298000.0,BUY,258000.0
2018-07-04,7329000.0,SELL,-26000.0
2018-07-05,7377000.0,BUY,197000.0
2018-07-09,7474000.0,SELL,-79000.0
2018-07-12,7090000.0,BUY,128000.0
2018-08-06,7982000.0,SELL,-98000.0
2018-08-28,7839000.0,BUY,531000.0
2018-09-07,7382000.0,SELL,-9000.0
2018-09-27,7447000.0,BUY,65000.0
2018-10-11,7187000.0,SELL,-350000.0
2018-10-15,7413000.0,BUY,114000.0
2018-10-17,7327000.0,SELL,-120000.0
2018-11-01,7186000.0,BUY,3000.0
2018-11-02,7179000.0,SELL,-10000.0
2018-12-23,4439000.0,BUY,52000.0
2018-12-25,4243000.0,SELL,-19000.0
2018-12-26,4293000.0,BUY,328000.0
2019-01-09,4458000.0,SELL,-94000.0
2019-02-09,3998000.0,BUY,14000.0
2019-02-11,3986000.0,SELL,-27000.0
2019-02-14,3984000.0,BUY,27000.0
2019-03-13,4325000.0,SELL,-3000.0
2019-03-16,4445000.0,BUY,267000.0
2019-04-30,6117000.0,SELL,-49000.0
2019-05-01,6192000.0,BUY,332000.0
2019-06-04,9486000.0,SELL,-120000.0
2019-06-05,9583000.0,BUY,118000.0
2019-06-09,9474000.0,SELL,-107000.0
2019-06-10,9731000.0,BUY,222000.0
2019-07-14,12425000.0,SELL,-466000.0
2019-08-03,12773000.0,BUY,348000.0
2019-08-04,12958000.0,SELL,-208000.0
2019-08-05,14181000.0,BUY,2733000.0
2019-08-21,12293000.0,SELL,-24000.0
2019-09-03,12703000.0,BUY,501000.0
2019-09-06,12341000.0,SELL,-83000.0
2019-09-13,12306000.0,BUY,105000.0
2019-09-15,12169000.0,SELL,-252000.0
2019-09-17,12061000.0,BUY,274000.0
2019-09-22,11936000.0,SELL,-499000.0
2019-10-25,10063000.0,BUY,343000.0
2019-11-15,9914000.0,SELL,-816000.0
2019-12-14,8277000.0,BUY,59000.0
2019-12-15,8319000.0,SELL,-19000.0
2019-12-22,8689000.0,BUY,104000.0
2019-12-23,8520000.0,SELL,-87000.0
2020-01-03,8474000.0,BUY,197000.0
2020-02-26,10741000.0,SELL,-523000.0
2020-04-01,8074000.0,BUY,1711000.0
2020-04-15,8108000.0,SELL,-164000.0
2020-04-16,8562000.0,BUY,682000.0
2020-05-24,10664000.0,SELL,-186000.0
2020-05-30,11581000.0,BUY,910000.0
2020-06-03,11648000.0,SELL,-128000.0
2020-06-04,11784000.0,BUY,470000.0
2020-06-07,11687000.0,SELL,-18000.0
2020-06-09,11688000.0,BUY,156000.0
2020-06-11,11090000.0,SELL,-27000.0
2020-06-12,11380000.0,BUY,240000.0
