name,tr,br,cagr,mdd,sharpe
Price>SMA155,29.10578898066571,252.02972995313297,0.5599435122781597,-42.0645207450682,1.3386776589374285
ROC15>=10%,29.058099026888247,252.02972995313297,0.5596061218663291,-32.856031801815696,1.3414284455960224
Price>SMA160,28.52901792709058,252.02972995313297,0.5558304425561218,-48.38539638865174,1.3235568610130783
EMA25>120,28.19748236802175,252.02972995313297,0.5534334105628786,-61.84977673475856,1.0954869371931433
EMA5>200,28.11653857319227,252.02972995313297,0.5528444653589346,-51.73722016161585,1.0809106768567456
Price>SMA150,27.981183152370622,252.02972995313297,0.5518563258161653,-42.96505913952884,1.3382406903860997
Price>SMA170,27.45970445315923,252.02972995313297,0.5480101490470084,-46.42934730053551,1.2938182154867017
Price>SMA185,26.92887606631183,252.02972995313297,0.5440293315754341,-46.695666749048605,1.2862004403943688
SMA20>40+Mom10,26.846920269882368,252.02972995313297,0.5434086645563412,-37.485309061205655,1.3565896792637457
Price>SMA110,26.520592635208786,252.02972995313297,0.5409208944050017,-50.702833587735405,1.439163066167143
SMA25>40+Mom10,26.429779188414148,252.02972995313297,0.5402238492170579,-31.113094687974076,1.359090754632704
Price>SMA180,26.354473505260504,252.02972995313297,0.5396442563232,-43.6482716468785,1.2805930904334384
Price>SMA80,26.22091723249046,252.02972995313297,0.5386127904809972,-45.52940220716014,1.4101612928438556
Price>SMA95,26.016957877136733,252.02972995313297,0.5370287609102127,-52.578802713693385,1.3846917758493207
Price>SMA175,25.96236083293921,252.02972995313297,0.5366029097873959,-48.25030684101216,1.2766031583163302
SMA5>120,25.22930134585732,252.02972995313297,0.5308085099783852,-50.87358017092233,1.2588448972619075
EMA10>200,24.70419686044251,252.02972995313297,0.5265673410928369,-63.11766538390695,1.083985744664224
Price>SMA100,24.48344854529483,252.02972995313297,0.5247609971784031,-48.84498127472842,1.3830810417480852
Price>SMA165,24.28378343345532,252.02972995313297,0.5231149547681901,-50.13663239923781,1.252569079934009
Price>SMA85,24.061988320377075,252.02972995313297,0.5212726406427097,-48.01316371493186,1.4164720821576358
SMA25>60,23.982875217754707,252.02972995313297,0.5206119291866969,-54.77590294829,1.1046921692542813
Price>SMA90,23.76921983321847,252.02972995313297,0.5188180892981811,-47.376630986598315,1.3765031667336947
Price>SMA75,23.682923640891804,252.02972995313297,0.5180895799543093,-47.7531302787928,1.4037884472687938
Price>SMA190,22.431965005787795,252.02972995313297,0.5072615474946811,-51.62382302912335,1.2276740987032475
Price>SMA195,21.18774598346271,252.02972995313297,0.49595879298626255,-50.06355427725284,1.2084094470515059
3MA_10_20_50,20.986805594171695,252.02972995313297,0.49407963180231684,-54.24061973792297,1.3285278789050259
SMA5>200,20.551876025006344,252.02972995313297,0.48995814979889163,-50.88702944440614,1.1931390924626901
ROC20>=10%,19.904964077811318,252.02972995313297,0.4836855758494514,-32.19209771438247,0.9431111027865319
EMA15>200,19.805896728538894,252.02972995313297,0.4827094217651424,-64.85684998362868,1.0438834552139893
Price>SMA200,18.56608043763291,252.02972995313297,0.47012024324964474,-55.67555230715103,1.1604522071996943
SMA5>150,18.187786183820577,252.02972995313297,0.4661336433354879,-61.17069064438052,1.1591260443098454
SMA10>150,16.98101187253416,252.02972995313297,0.45291627806515233,-60.489335163472155,1.096741394061362
Price>SMA105,16.855965484041995,252.02972995313297,0.4515004590695977,-51.18049977641973,1.3624230001440147
SMA15>150,16.471788801785948,252.02972995313297,0.4470928972274253,-62.657284029734925,1.079223734940595
ROC10>=10%,16.256510306914468,252.02972995313297,0.44458389881598515,-31.475576554587864,1.0981526123180916
SMA10>120,15.362889813370508,252.02972995313297,0.43385051263287977,-52.868285951743964,1.135501155751606
SMA25>150,15.168672390142644,252.02972995313297,0.43144625061479003,-63.742648907235264,1.0649992612964725
SMA25>120,14.470505922737741,252.02972995313297,0.42257680411922016,-55.71814625016302,1.2021380191392619
SMA20>150,12.72923856208371,252.02972995313297,0.398720631436698,-64.13971035129174,1.0062256183842102
SMA20>200,12.417696548925509,252.02972995313297,0.3941563494253093,-64.57286592580274,0.9946841439932502
3MA_20_40_80,11.936560208422154,252.02972995313297,0.3869081998892381,-45.192024717781024,1.1812538337174512
SMA5>100,11.9013927665809,252.02972995313297,0.3863685245112647,-55.464101487241244,1.134212627720733
SMA10>100,11.83205300524907,252.02972995313297,0.3853003766430638,-51.29913937654792,1.1317292319215186
SMA10>80,11.442458402914916,252.02972995313297,0.37919580095199046,-53.92062703214181,1.0912852178777457
SMA15>80,10.969203324179347,252.02972995313297,0.3715327859705422,-53.34309489214415,1.08288213899394
SMA20>120,10.852219268090039,252.02972995313297,0.36959438259897026,-56.148908174953974,1.1037041733124884
SMA10>200,10.827300358429943,252.02972995313297,0.3691791389890027,-64.3429308897304,0.9609391194588179
SMA20>80,10.776820218891208,252.02972995313297,0.3683353993865175,-54.93478820006514,1.0754629805689218
SMA15>200,9.871937747482596,252.02972995313297,0.3525971405781576,-68.00137379741524,0.9295006269148005
SMA25>200,9.695694782490786,252.02972995313297,0.3493869183484659,-71.14150217941848,0.9165598980419817
SMA20>100,9.385108202440804,252.02972995313297,0.34360428128568765,-50.461709772005015,1.141801433999648
SMA15>120,9.196325015305046,252.02972995313297,0.3400077339143097,-57.25970003009483,1.033987764436174
SMA15>100,9.174913182052547,252.02972995313297,0.33959577545579345,-51.699575449728016,1.0513442343842987
SMA25>100,9.029183065196161,252.02972995313297,0.3367695814244567,-52.680596965746375,1.1729718289913396
SMA25>80,7.650570441078248,252.02972995313297,0.3078720126136605,-56.82701628226503,1.0428118999355231
Mom10>Mom20,1.398228605419853,252.02972995313297,0.04520807417252515,-66.68537641384546,0.4244120261424071
Mom15>Mom30,0.8679238252860333,252.02972995313297,-0.018511298594370063,-73.20555638265019,0.3131987081409169
Mom5>Mom10,0.6066148517897597,252.02972995313297,-0.06380838274310052,-56.389873617947664,0.15932592024027184
