Threshold,Total Return,CAGR,MDD,Sharpe Ratio,Trading Days
0.0,36.06953209153317,0.5548569953125326,-0.8681314677160765,0.8496483466722947,2968
0.05,122.3838585164353,0.807205321306562,-0.710342037614443,1.1436953831815226,2412
0.1,97.14642772513302,0.7565498627271636,-0.6926334319403165,1.1191271732671335,2258
0.15000000000000002,84.21360944589047,0.7259274688109449,-0.6423221034094568,1.1116737250776452,2058
0.2,84.21360944589047,0.7259274688109449,-0.6423221034094568,1.1116737250776452,2058
0.25,78.93912613232013,0.7122396484817635,-0.7104308051095876,1.1108330367785872,1969
0.30000000000000004,96.93410342461846,0.7560767958163852,-0.6972824226796623,1.1751857343553902,1802
0.35000000000000003,89.11276171356756,0.7379836469201535,-0.6081630389981891,1.176019639881492,1716
0.4,89.11276171356756,0.7379836469201535,-0.6081630389981891,1.176019639881492,1716
0.45,109.51049214112487,0.7826474210674885,-0.5420431583743608,1.2301198000345146,1658
0.5,71.63782031090874,0.6919039938544937,-0.6243992704020598,1.147354482734705,1593
0.55,129.5615373486363,0.8199294990408215,-0.5388496103668995,1.3111198428360795,1541
0.6000000000000001,82.02543760984294,0.720342829844397,-0.4532426740890311,1.232072820353018,1419
0.65,82.02543760984294,0.720342829844397,-0.4532426740890311,1.232072820353018,1419
0.7000000000000001,51.77175861956825,0.6255934627410913,-0.4340287194929307,1.2299293617712377,1278
0.75,51.77175861956825,0.6255934627410913,-0.4340287194929307,1.2299293617712377,1278
0.8,39.326332167120874,0.5714918852113797,-0.43250992097916446,1.1788957557173816,1219
0.8500000000000001,31.715459778415887,0.5304272334528213,-0.4304670989982472,1.1996274995625587,1037
0.9,31.715459778415887,0.5304272334528213,-0.4304670989982472,1.1996274995625587,1037
0.9500000000000001,20.353651228598444,0.44910313407709035,-0.27809041609275476,1.1779007723533939,740
1.0,20.353651228598444,0.44910313407709035,-0.27809041609275476,1.1779007723533939,740
