k,j,total_return,cagr,mdd,sharpe_ratio,win_rate,final_equity
0,1,36.06953209153317,0.5548569953125326,-0.8681314677160765,1.0225519435055568,0.5197435032062099,36.06953209153317
0,3,36.06953209153317,0.5548569953125326,-0.8681314677160765,1.0225519435055568,0.5197435032062099,36.06953209153317
0,5,36.06953209153317,0.5548569953125326,-0.8681314677160765,1.0225519435055568,0.5197435032062099,36.06953209153317
0,7,36.06953209153317,0.5548569953125326,-0.8681314677160765,1.0225519435055568,0.5197435032062099,36.06953209153317
0,9,36.06953209153317,0.5548569953125326,-0.8681314677160765,1.0225519435055568,0.5197435032062099,36.06953209153317
0,11,36.06953209153317,0.5548569953125326,-0.8681314677160765,1.0225519435055568,0.5197435032062099,36.06953209153317
0,13,36.06953209153317,0.5548569953125326,-0.8681314677160765,1.0225519435055568,0.5197435032062099,36.06953209153317
0,15,36.06953209153317,0.5548569953125326,-0.8681314677160765,1.0225519435055568,0.5197435032062099,36.06953209153317
0,17,36.06953209153317,0.5548569953125326,-0.8681314677160765,1.0225519435055568,0.5197435032062099,36.06953209153317
0,19,36.06953209153317,0.5548569953125326,-0.8681314677160765,1.0225519435055568,0.5197435032062099,36.06953209153317
0,21,36.06953209153317,0.5548569953125326,-0.8681314677160765,1.0225519435055568,0.5197435032062099,36.06953209153317
0,23,36.06953209153317,0.5548569953125326,-0.8681314677160765,1.0225519435055568,0.5197435032062099,36.06953209153317
0,25,36.06953209153317,0.5548569953125326,-0.8681314677160765,1.0225519435055568,0.5197435032062099,36.06953209153317
0,27,36.06953209153317,0.5548569953125326,-0.8681314677160765,1.0225519435055568,0.5197435032062099,36.06953209153317
0,29,36.06953209153317,0.5548569953125326,-0.8681314677160765,1.0225519435055568,0.5197435032062099,36.06953209153317
2,1,97.14642772513302,0.7565498627271636,-0.6926334319403165,1.3468697615150702,0.4949452401010952,97.14642772513302
2,3,97.94901499089183,0.7583299065944253,-0.6832759368314304,1.3283946047114479,0.5018181818181818,97.94901499089183
