Month,ML Strategy Return (%)
2017-11,0.0
2017-12,0.0
2018-01,0.0
2018-02,0.0
2018-03,0.0
2018-04,0.0
2018-05,0.0
2018-06,0.0
2018-07,0.0
2018-08,0.0
2018-09,0.0
2018-10,0.0
2018-11,-2.0692904725205574
2018-12,-6.960844092193275
2019-01,-2.4195562291746575
2019-02,10.271384992697419
2019-03,5.303934846461389
2019-04,28.76919362618542
2019-05,43.417551686800905
2019-06,43.40917180412423
2019-07,19.280763507944254
2019-08,-19.3420014835187
2019-09,-7.3609453614826625
2019-10,1.1585617002803916
2019-11,-9.76400809372816
2019-12,-3.905336288866923
2020-01,31.57106911830816
2020-02,-5.569124527788871
2020-03,-17.266127499344076
2020-04,20.459797781994094
2020-05,7.276870096012589
2020-06,-4.997932848516829
2020-07,16.89465888298336
2020-08,1.6229139743260568
2020-09,1.7087062652563212
2020-10,18.267720751442184
2020-11,30.533547651064886
2020-12,30.426677404149018
2021-01,-14.12451634949753
2021-02,17.865364243929616
2021-03,38.06131510869142
2021-04,-4.194662386063119
2021-05,-29.83916029567655
2021-06,-10.11126239779675
2021-07,13.936935423299035
2021-08,12.52059735156401
2021-09,-9.29370287076311
2021-10,13.910790517383266
2021-11,0.5011106147752242
2021-12,-16.02709893397124
2022-01,-18.542883559269786
2022-02,2.2782350721789024
2022-03,1.1051311950010634
2022-04,3.4853926867399965
2022-05,-20.63446979209308
2022-06,-24.427070673776253
2022-07,-4.406390479479894
2022-08,-0.7246200345151332
2022-09,3.5458040747150976
2022-10,0.0
2022-11,-12.049617419528069
2022-12,1.171693284618569
2023-01,5.493522398962614
2023-02,1.8983970771402126
2023-03,23.305560982639093
2023-04,-0.651814751225166
2023-05,0.9657929172242952
2023-06,2.0775133595092976
2023-07,-3.9882419294674287
2023-08,0.7373344414514316
2023-09,3.966100018882579
2023-10,6.601140612095202
2023-11,9.42444413153829
2023-12,10.46779221111187
2024-01,-5.945403861255649
2024-02,12.92880480887284
2024-03,8.395082612632665
2024-04,0.5055274713565705
2024-05,8.757995526629614
2024-06,-9.316167806905717
2024-07,-0.10179474865182891
2024-08,-5.353393412374063
2024-09,2.9425502521680524
2024-10,9.40985695765415
2024-11,17.99911333746751
2024-12,2.0961253468807284
2025-01,8.371743301372181
2025-02,-9.404228556293148
2025-03,-1.0361529008265258
2025-04,4.435449938883851
2025-05,-0.9993401635172927
2025-06,-2.109089814114351
2025-07,3.0602813957380626
2025-08,-1.5963397020900993
2025-09,3.1909604434914973
2025-10,8.371113620299075
2025-11,-5.189024390243935
