Rank,Strategy,Median_Monthly_%,Bench_Median_%,Gap_%p,Positive_Months_%,Monthly_Std_%,Total_Return_x,Benchmark_x,MDD_%,Sharpe
1,Filtered_SMA28_RSI40_80,0.039287103202267915,0.0,0.039287103202267915,50.526315789473685,11.774333912978037,10.72030439330302,252.02972995313297,-42.81079987413439,0.9233815142350602
2,Filtered_SMA30_RSI40_80,0.039287103202267915,0.0,0.039287103202267915,50.526315789473685,11.798090204893672,14.684059759637288,252.02972995313297,-39.73383360565396,1.0478775140915126
3,Adaptive_Vol_MA20_30_50,0.0,0.0,0.0,44.21052631578947,15.339185280392687,165.04062474994427,252.02972995313297,-45.19534783414783,1.572683168456881
4,Adaptive_Vol_15_30_60,0.0,0.0,0.0,44.21052631578947,15.291565567077363,89.09859555206737,252.02972995313297,-44.60789300300833,1.5229214894387957
5,Adaptive_Vol_20_35_50,0.0,0.0,0.0,43.15789473684211,15.71731169722123,168.1523097890838,252.02972995313297,-46.08914660502954,1.5766046544053665
6,Adaptive_Vol_25_30_40,0.0,0.0,0.0,47.368421052631575,15.31699105094857,125.30124873930836,252.02972995313297,-51.602393468989085,1.5264735269358198
7,Composite_Vote_3_of_5,0.0,0.0,0.0,46.31578947368421,15.104371604571462,169.459184094216,252.02972995313297,-38.82192454527939,1.5468816368382792
8,Composite_Vote_4_of_5,0.0,0.0,0.0,44.21052631578947,14.112227273115609,216.28071548038412,252.02972995313297,-42.80643956176248,1.6890710785077647
9,Vote3_2_of_3,0.0,0.0,0.0,43.15789473684211,15.08078689867632,168.49102142662622,252.02972995313297,-53.60726983614573,1.5269800615896942
10,Vote3_3_of_3,0.0,0.0,0.0,35.78947368421053,13.241678674657036,93.16936526605949,252.02972995313297,-39.55071114208097,1.4646550338158324
11,Regime_Switch_Trend,0.0,0.0,0.0,42.10526315789473,14.030352464367777,122.98584701365068,252.02972995313297,-50.04837040649237,1.6735594241672345
12,Regime_Switch_Vol,0.0,0.0,0.0,48.421052631578945,15.514638796992072,131.49286555117246,252.02972995313297,-52.02795098700722,1.5404628187548621
13,MultiConfirm_SMA25_ROC_Trend,0.0,0.0,0.0,35.78947368421053,12.749705088244092,78.83884794607485,252.02972995313297,-39.562704788007416,1.3999677876488839
14,MultiConfirm_SMA30_ROC_Trend,0.0,0.0,0.0,35.78947368421053,13.241678674657036,93.16936526605949,252.02972995313297,-39.55071114208097,1.4646550338158324
15,MultiConfirm_SMA35_ROC_Trend,0.0,0.0,0.0,36.84210526315789,13.282956139443248,99.6707207703793,252.02972995313297,-40.16741214074449,1.4695767460785443
16,Filtered_SMA28_LowVol75,0.0,0.0,0.0,46.31578947368421,13.362365039066258,34.823469867808896,252.02972995313297,-34.74863522314759,1.618413762251038
17,Filtered_SMA30_LowVol75,0.0,0.0,0.0,45.26315789473684,13.150509007816275,40.08058337658914,252.02972995313297,-31.559738471306964,1.6796241969581767
18,Filtered_SMA32_RSI40_80,0.0,0.0,0.0,48.421052631578945,11.948278422216827,11.125008452437125,252.02972995313297,-37.89487916091788,1.0006876936303915
19,Filtered_SMA32_LowVol75,0.0,0.0,0.0,44.21052631578947,13.21906767765464,38.43264633030538,252.02972995313297,-31.86349889719723,1.6598583621543739
20,DualTF_SMA20_50,0.0,0.0,0.0,36.84210526315789,12.953189033889009,64.50791853811312,252.02972995313297,-38.543973840730175,1.5198298700557697
21,DualTF_SMA25_60,0.0,0.0,0.0,35.78947368421053,12.569407556713418,71.56125125975798,252.02972995313297,-29.886045055460446,1.4914642264169105
